repo_name;release_count;age;star_count
3drepo/3drepo.io;44;3649;95
99xt/serverless-react-boilerplate;10;2970;260
accordproject/concerto;101;2157;108
acdlite/recompose;42;3248;14766
adobe/brackets;69;4647;33265
aeneasr/ory-editor;387;3379;9439
Agoric/agoric-sdk;31;1762;322
aichbauer/express-routes-mapper;6;2731;21
ajoslin/conventional-changelog;147;3888;7733
akvo/akvo-lumen;31;3236;63
aldeed/simpl-schema;26;2980;560
alexa/alexa-skills-kit-sdk-for-nodejs;52;2987;3119
AlexGalays/kaiju;29;3097;89
algolia/react-instantsearch;47;2703;1970
alleyinteractive/irving;242;2273;42
AlloyTeam/Nuclear;163;3377;13026
amannn/action-semantic-pull-request;47;1755;938
amark/gun;17;3681;18018
amazeeio/lagoon;113;2555;554
amazingandyyy/mern;6;2802;505
AnalyzeOrFeed/aof-replay-client;11;3271;20
angular/angular-cli;735;3373;26723
angular-redux/ng2-redux;5;3302;1337
antonybudianto/cra-universal;19;2570;431
aol/moloch;64;4436;6246
AOT-Technologies/forms-flow-ai;25;1603;332
apache/incubator-weex-cli;10;2981;564
apiaryio/api-elements.js;74;2416;74
apollographql/apollo-codegen;40;2938;3041
apollostack/apollo-server;140;3051;13747
apollostack/graphql-tools;1405;3081;5334
appearhere/bloom;132;2945;51
aragon/aragon.js;21;2592;82
aragon/aragon-apps;156;2507;386
ark120202/angel-arena-black-star;84;2662;27
ArkEcosystem/core;100;2471;337
ArthurClemens/Polythene;17;3440;591
atlassian/extract-react-types;26;2556;178
AugurProject/augur;20;2220;450
aurelia/skeleton-navigation;65;3547;734
Automattic/wp-calypso;42;3214;12401
Availity/availity-react;8;2453;51
Availity/availity-workflow;94;3277;28
aws/aws-xray-sdk-node;21;2728;266
aws-amplify/amplify-js;149;2521;9411
awslabs/aws-mobile-appsync-sdk-js;11;2500;919
aws-samples/aws-api-gateway-developer-portal;22;2837;928
babel/babel;408;3622;43135
babel/babel-minify;18;3065;4390
baidu/san;97;2921;4713
bakdata/conquery;249;2604;36
betagouv/syso;50;2996;253
bids-standard/bids-validator;144;3367;179
binaryage/dirac;120;3179;769
bkimminich/juice-shop;208;3631;10026
blockchain/blockchain-wallet-v4-frontend;1177;2634;762
bluebill1049/react-simple-animate;68;2587;1819
borysn/spring-boot-angular2;6;3135;387
Bounteous-Inc/aem-webpack-example;14;2644;80
bpmn-io/diagram-js;21;3870;1666
BuilderIO/builder;514;2036;7222
