repo_name;release_count;age
3drepo/3drepo.io;44;3649
99xt/serverless-react-boilerplate;10;2970
accordproject/concerto;101;2157
acdlite/recompose;42;3248
adobe/brackets;69;4647
aeneasr/ory-editor;387;3379
Agoric/agoric-sdk;31;1762
aichbauer/express-routes-mapper;6;2731
ajoslin/conventional-changelog;147;3888
akvo/akvo-lumen;31;3236
aldeed/simpl-schema;26;2980
alexa/alexa-skills-kit-sdk-for-nodejs;52;2987
AlexGalays/kaiju;29;3097
algolia/react-instantsearch;47;2703
alleyinteractive/irving;242;2273
AlloyTeam/Nuclear;163;3377
amannn/action-semantic-pull-request;47;1755
amark/gun;17;3681
amazeeio/lagoon;113;2555
amazingandyyy/mern;6;2802
AnalyzeOrFeed/aof-replay-client;11;3271
angular/angular-cli;735;3373
angular-redux/ng2-redux;5;3302
antonybudianto/cra-universal;19;2570
aol/moloch;64;4436
AOT-Technologies/forms-flow-ai;25;1603
apache/incubator-weex-cli;10;2981
apiaryio/api-elements.js;74;2416
apollographql/apollo-codegen;40;2938
apollostack/apollo-server;140;3051
apollostack/graphql-tools;1405;3081
appearhere/bloom;132;2945
aragon/aragon.js;21;2592
aragon/aragon-apps;156;2507
ark120202/angel-arena-black-star;84;2662
ArkEcosystem/core;100;2471
ArthurClemens/Polythene;17;3440
atlassian/extract-react-types;26;2556
AugurProject/augur;20;2220
aurelia/skeleton-navigation;65;3547
Automattic/wp-calypso;42;3214
Availity/availity-react;8;2453
Availity/availity-workflow;94;3277
aws/aws-xray-sdk-node;21;2728
aws-amplify/amplify-js;149;2521
awslabs/aws-mobile-appsync-sdk-js;11;2500
aws-samples/aws-api-gateway-developer-portal;22;2837
babel/babel;408;3622
babel/babel-minify;18;3065
baidu/san;97;2921
bakdata/conquery;249;2604
betagouv/syso;50;2996
bids-standard/bids-validator;144;3367
binaryage/dirac;120;3179
bkimminich/juice-shop;208;3631
blockchain/blockchain-wallet-v4-frontend;1177;2634
bluebill1049/react-simple-animate;68;2587
borysn/spring-boot-angular2;6;3135
Bounteous-Inc/aem-webpack-example;14;2644
bpmn-io/diagram-js;21;3870
BuilderIO/builder;514;2036
BulletTrainHQ/bullet-train-js-client;69;2277
buzz/newsdash;13;1823
c8r/markdown;118;2439
calesce/redux-slider-monitor;6;3314
callemall/material-ui;489;3663
callmecavs/outset;19;3636
callstack-io/linaria;559;2654
camunda/camunda-modeler;118;3267
CancerCollaboratory/billing;5;2912
canonical-web-and-design/maas-ui;25;1906
carbon-design-system/carbon-addons-iot-react;1532;2086
cdimascio/generator-express-no-stress;60;2770
cds-snc/report-a-cybercrime;8;2135
cedardevs/onestop;50;2973
ceolter/ag-grid;222;3536
cgrossde/Pullover;17;3558
ChainSafeSystems/lodestar_chain;160;2259
ChainShot/Builder;55;2120
chakra-ui/chakra-ui;3337;1838
chanzuckerberg/cellxgene;46;2521
cheton/cnc;190;3295
Chocobozzz/PeerTube;125;3225
chriskalmar/shyft;15;2206
CMSgov/design-system;205;2759
code-dot-org/code-dot-org;2126;3630
codejamninja/reaction;7;2410
CodingZeal/generator-react-zeal;7;2828
compulim/web-speech-cognitive-services;16;2253
ConsenSys/cakeshop;6;2815
ConsenSys/truffle;280;3348
contentful/forma-36;6973;2140
conventional-changelog/commitlint;160;3120
conversejs/converse.js;100;4421
coveo/react-vapor;816;2905
Cox-Automotive/ALKS-CLI;88;2973
Cretezy/noderize;24;2393
Cristian006/frameless-titlebar;5;2294
cryptape/nervos.js;20;2223
cubic-js/cubic;124;2682
cyclejs/core;60;3582
danactive/history;63;4499
danielcondemarin/serverless-next.js;577;2016
DanielSchaffer/webpack-babel-multi-target-plugin;36;2449
David-Desmaisons/Neutronium;19;3334
derzunov/redux-react-i18n;11;2857
developit/htm;16;2221
developit/preact;209;3274
developit/preact-cli;51;2658
DevExpress/DevExtreme;244;2690
DevExpress/devextreme-cli;13;2204
DevExpress/devextreme-reactive;105;2721
dfahlander/Dexie.js;129;3836
dialogflow/dialogflow-nodejs-client-v2;90;2500
dipterix/threeBrain;12;2003
D-Pow/MockRequests;13;1825
draft-js-plugins/draft-js-plugins;210;3106
driftyco/ionic;878;4025
driftyco/ionic-cli;53;3934
dsebastien/modernWebDevGenerator;20;3266
dvajs/dva;35;2987
eddyerburgh/jest-vue;79;2552
egoist/poi;98;3051
elastic/kibana;154;4232
elastic-coders/serverless-webpack;58;2933
electric-eloquence/fepper;55;3277
electron-userland/electron-forge;44;2884
elyra-ai/canvas;110;1771
embark-framework/embark;76;3384
embarklabs/subspace;7;1952
ember-cli/ember-cli;308;3951
emotion-js/emotion;554;2650
enactjs/enact;146;2911
equinor/design-system;167;2029
Esri/arcgis-js-cli;36;2303
ETCDEVTeam/emerald-wallet;43;2744
